Dates,VIX,VSTOXX,ESX50,SnP500
11/24/2021,18.58,20.67,4276.25,4701.46
11/25/2021,18.58,19.88,4293.24,4701.46
11/26/2021,28.62,32.31,4089.58,4594.62
11/29/2021,22.96,28.80,4109.51,4655.27
11/30/2021,27.19,30.07,4063.06,4567.00
12/1/2021,31.12,26.02,4179.15,4513.04
12/2/2021,27.95,30.47,4108.02,4577.10
12/3/2021,30.67,31.48,4080.15,4538.43
12/6/2021,27.18,30.04,4137.11,4591.67
12/7/2021,21.89,24.87,4276.20,4686.75
12/8/2021,19.90,24.71,4233.09,4701.21
12/9/2021,21.58,23.52,4208.30,4667.45
12/10/2021,21.58,23.52,4208.30,4667.45
